yarn_id,num_fibers,fiber_type,company_name,weight_name,machine_washable,yarn_name,permalink,rating_avg,pill_rank,split_rank
187,1,"[Wool, Silk, Mohair]",Noro,Aran,,Silk Garden,noro-silk-garden,4.25,0.587964679,0.695481526
194,0,[Wool],Noro,Worsted,,Kureyon,noro-kureyon,4.18,0.627556476,0.724281485
201,0,[Polyester],Sirdar,DK,1,Funky Fur,sirdar-funky-fur,3.72,0.265315477,0.388865809
205,1,"[Acrylic, Nylon]",Sirdar,DK,1,Snuggly DK,sirdar-snuggly-dk,4.12,0.294926365,0.473412409
207,1,"[Polyester, Acrylic]",Sirdar,DK,1,Snuggly Tiny Tots,sirdar-snuggly-tiny-tots,3.57,0.26624611,0.443738828
210,1,"[Cotton, Acrylic]",GGH,Bulky,1,Goa,ggh-goa,3.71,0.394941794,0.639682884
246,0,[Merino],Wendy,DK,1,100% Superwash Merino DK,wendy-100-superwash-merino-dk-2,4.23,0.783803969,0.88633824
250,1,"[Wool, Acrylic]",Wendy,Aran,1,Aran with Wool,wendy-aran-with-wool,3.93,0.795536923,0.76357866
260,0,[Wool],Wendy,Aran,1,Traditional Aran,wendy-traditional-aran,3.96,0.810404854,0.904268174
263,0,[Wool],Wendy,Sport,1,Guernsey 5 Ply,wendy-guernsey-5-ply,4.32,0.763565836,0.942484557
268,0,[Cotton],Wendy,DK,1,Supreme Luxury Cotton DK,wendy-supreme-luxury-cotton-dk,4.28,0.467231606,0.902348433
272,1,"[Nylon, Acrylic]",Wendy,Sport,1,Peter Pan Double Knit,wendy-peter-pan-double-knit,4.14,0.519585994,0.700849399
296,1,"[Nylon, Mohair, Wool]",Mountain Colors,Fingering,1,Bearfoot,mountain-colors-bearfoot,4.5,0.593468731,0.660737602
300,0,[Cotton],Rowan,Sport,1,Cotton Glace,rowan-cotton-glace,4.27,0.443173334,0.605686999
301,0,[Wool],Mountain Colors,Worsted,0,4/8's Wool,mountain-colors-4-8s-wool,4.68,0.659498784,0.731621492
308,1,"[Nylon, Wool, Mohair]",Mountain Colors,Aran,0,Mohair,mountain-colors-mohair,4.39,0.481864026,0.485081796
325,1,"[Wool, Mohair]",Mountain Colors,Worsted,0,Mountain Goat,mountain-colors-mountain-goat,4.56,0.686629526,0.809600938
326,0,[Wool],Mountain Colors,DK,0,Weaver's Wool,mountain-colors-weavers-wool,4.58,0.645845102,0.724391158
334,1,"[Nylon, Wool, Mohair]",Ironstone,Aran,0,English Mohair (NSMB),ironstone-english-mohair-nsmb,3.68,0.30010821,0.253395969
362,1,"[Nylon, Wool]",Lana Grossa,Fingering,1,Meilenweit 50 Uni/Solid,lana-grossa-meilenweit-50-uni-solid,4.19,0.619135111,0.771623255
392,0,[Merino],Koigu,Fingering,0,Painter's Palette Premium Merino (KPPPM),koigu-painters-palette-premium-merino-kpppm,4.67,0.661987075,0.619191064
393,0,[Alpaca],Misti Alpaca,Lace,,Lace Solids,misti-alpaca-lace-solids,4.41,0.532027325,0.573446848
394,0,[Merino],Lana Grossa,Aran,1,Bingo,lana-grossa-bingo,4.31,0.783082039,0.845230915
396,0,[Alpaca],Misti Alpaca,Bulky,0,Chunky ,misti-alpaca-chunky,4.61,0.590733459,0.619407179
400,0,[Merino],Lana Grossa,Worsted,1,Cool Wool Merino Big Solid/Uni,lana-grossa-cool-wool-merino-big-solid-uni,4.55,0.771176296,0.832663002
405,0,[Bamboo],South West Trading Company,DK,,Bamboo,south-west-trading-company-bamboo,3.99,0.056833809,0.142184048
407,1,"[Cashmere, Merino]",Lana Grossa,Worsted,0,Pashmina,lana-grossa-pashmina,4.62,0.623335914,0.641648669
411,0,[Merino],Lana Grossa,Bulky,,Royal Tweed,lana-grossa-royal-tweed,4.07,0.647693387,0.645581375
414,0,[Merino],Lana Grossa,Aran,1,Bingo Print,lana-grossa-bingo-print,4.34,0.707665904,0.792049841
421,0,[Merino],Lana Grossa,Sport,1,Cool Wool Print,lana-grossa-cool-wool-print,4.55,0.726638276,0.81429335
422,1,"[Wool, Acrylic]",Lana Grossa,Aran,1,Basics Quick,lana-grossa-basics-quick,3.4,0.860114301,0.748237636
423,1,"[Silk, Wool]",Himalaya Yarn,Bulky,,Tibet Wool Silk,himalaya-yarn-tibet-wool-silk,3.42,0.65251768,0.739982402
437,0,[Cotton],Karabella Yarns,Worsted,1,Zodiac,karabella-zodiac,3.96,0.206416168,0.469688457
459,1,"[Wool, Nylon, Mohair]",GGH,Aran,0,Soft Kid,ggh-soft-kid,4.14,0.530456197,0.574807249
476,1,"[Wool, Nylon, Mohair]",Katia,Worsted,0,Ingenua,katia-ingenua,3.7,0.532280359,0.545223453
484,1,"[Nylon, Wool, Cotton]",Lana Grossa,Fingering,1,Meilenweit 50 Cotton Solid/Uni,lana-grossa-meilenweit-50-cotton-solid-uni,4.11,0.602293876,0.644600076
495,1,"[Polyester, Nylon, Mohair, Rayon]",Stacy Charles Fine Yarns,DK,,Ritratto,stacy-charles-fine-yarns-ritratto,4.09,0.157382147,0.139860387
503,0,[Cotton],Debbie Bliss,DK,1,Cotton DK,debbie-bliss-cotton-dk,4.06,0.224646372,0.508767547
508,0,[Wool],Cherry Tree Hill Yarn,Lace,,Merino Lace,cherry-tree-hill-yarn-merino-lace,4.39,0.650342479,0.742268765
520,0,[Wool],Lorna's Laces,Worsted,0,Fisherman Multi,lornas-laces-fisherman-multi,4.51,0.634637774,0.681921262
523,0,[Wool],Cascade Yarns,Worsted,,Cascade 220®,cascade-yarns-cascade-220,4.48,0.706627931,0.722357978
526,1,"[Wool, Silk]",Lorna's Laces,Lace,0,Helen's Lace Multi,lornas-laces-helens-lace-multi,4.59,0.584580039,0.692161627
532,1,"[Wool, Alpaca]",Cascade Yarns,Worsted,,Alpaca Lana D'Oro ,cascade-yarns-alpaca-lana-doro,4.51,0.71589743,0.765583036
533,1,"[Wool, Angora]",Anny Blatt,DK,0,Angora Super,anny-blatt-angora-super,4.32,0.693331363,0.791273965
541,0,[Wool],Anny Blatt,Fingering,1,Baby Blatt,anny-blatt-baby-blatt,4.26,0.754031691,0.923280316
558,0,[Nylon],Anny Blatt,Fingering,0,Muguet,anny-blatt-muguet,3.79,0.474467572,0.484514418
571,0,[Wool],Karabella Yarns,Bulky,0,Aurora Bulky,karabella-aurora-bulky,4.4,0.455790772,0.424503287
575,1,"[Cashmere, Merino]",Karabella Yarns,Bulky,,Margrite Bulky,karabella-yarns-margrite-bulky,4.24,0.536272894,0.440188339
578,0,[Wool],Karabella Yarns,Aran,0,Soft Tweed,karabella-soft-tweed,4.16,0.459519874,0.416522877
596,1,"[Wool, Rayon]",Muench Yarns,Aran,0,Touch Me,muench-touch-me,4.16,0.454728133,0.431534243
601,1,"[Nylon, Mohair]",Filatura Di Crosa,Light Fingering,,Golden Line Baby Kid Extra Solid,filatura-di-crosa-golden-line-baby-kid-extra-solid,4.1,0.255924826,0.196743897
603,0,[Merino],Filatura Di Crosa,Sport,1,Zarina,filatura-di-crosa-zarina,4.57,0.676422944,0.798426809
607,1,"[Cotton, Acrylic, Nylon, Mohair, Merino]",Filatura Di Crosa,Worsted,,Fancy Gioiello,filatura-di-crosa-fancy-gioiello,4.25,0.117165557,0.28329687
618,0,[Silk],Himalaya Yarn,Bulky,,Tibet Recycled Silk,himalaya-yarn-tibet-recycled-silk,3.51,0.440214058,0.377126685
622,0,[Wool],Filatura Di Crosa,Sport,1,Zarina Baby,filatura-di-crosa-zarina-baby,4.31,0.66068223,0.795145004
652,0,[Wool],Bouton d'Or,Bulky,1,Laika,bouton-dor-laika,4.24,0.593367799,0.609375092
654,1,"[Cotton, Rayon]",Bouton d'Or,Sport,0,Mango,bouton-dor-mango,4.26,0.302683848,0.503217543
676,0,[Cotton],Crystal Palace Yarns,Aran,0,Cotton Chenille Solid,crystal-palace-cotton-chenille-solid,3.63,0.086602997,0.152646651
679,1,"[Silk, Wool]",Lorna's Laces,Aran,0,Lion & Lamb Multi,lornas-laces-lion--lamb-multi,4.61,0.639203048,0.486746126
683,0,[Merino],Lorna's Laces,Aran,1,Shepherd Worsted Multi,lornas-laces-shepherd-worsted-multi,4.65,0.798275824,0.841461377
715,1,"[Nylon, Wool]",Patons North America,Fingering,1,Kroy Socks 4 Ply,patons-north-america-kroy-socks-4-ply,3.99,0.654168165,0.728128427
718,0,[Cotton],Patons North America,Sport,,Grace,patons-north-america-grace,4.21,0.285182907,0.380345092
721,0,[Wool],Harrisville Designs,Worsted,,Highland,harrisville-designs-highland,4.34,0.715604189,0.826965768
722,1,"[Wool, Acrylic]",Patons North America,Worsted,1,Decor,patons-north-america-decor,3.78,0.680708176,0.68989552
729,1,"[Wool, Acrylic]",Patons North America,Bulky,1,Shetland Chunky,patons-north-america-shetland-chunky,3.88,0.666274571,0.70965619
731,0,[Merino],Dale Garn,Fingering,1,Baby Ull,dale-garn-baby-ull,4.34,0.84998872,1
736,0,[Wool],Jamieson & Smith,Cobweb,,1 Ply Cobweb,jamieson--smith-1-ply-cobweb,4.43,0.387145096,0.43800868
737,0,[Wool],Jamieson & Smith,Fingering,,2 Ply Jumper Weight,jamieson--smith-2-ply-jumper-weight,4.67,0.837952493,0.912132612
742,0,[Wool],Harrisville Designs,Fingering,,Shetland,harrisville-designs-shetland,4.38,0.749768982,0.902391728
747,0,[Wool],Jamieson's,DK,0,Double Knitting,jamiesons-double-knitting,4.38,0.592847671,0.702773599
751,0,[Wool],Jamieson & Smith,Light Fingering,,2 Ply Lace Weight,jamieson--smith-2-ply-lace-weight,4.5,0.656094891,0.738067389
755,0,[Merino],Interlacements,Sport,1,Toasty Toes,interlacements-toasty-toes,4.43,0.802488658,0.892776271
762,1,"[Silk, Merino]",Alchemy: Yarns of Transformation,Worsted,0,Synchronicity,alchemy-yarns-of-transformation-synchronicity,4.59,0.817578744,0.708409178
773,0,[Silk],Alchemy: Yarns of Transformation,DK,,Silk Purse,alchemy-yarns-of-transformation-silk-purse,4.54,0.418574699,0.437548714
788,1,"[Wool, Nylon]",Froehlich Wolle,Fingering,1,Special Blauband,froehlich-wolle-special-blauband,4.32,0.893425169,0.832657316
798,1,"[Nylon, Wool]",Froehlich Wolle,Fingering,1,Maxi Ringel,froehlich-wolle-maxi-ringel,4.06,0.679645824,0.718135561
800,0,[Alpaca],The Alpaca Yarn Co.,DK,,Classic Alpaca,the-alpaca-yarn-co-classic-alpaca,4.47,0.643687162,0.706777343
803,0,[Alpaca],The Alpaca Yarn Co.,Lace,0,Suri Elegance,the-alpaca-yarn-co-suri-elegance,4.48,0.339380382,0.303688301
806,0,[Wool],Rauma,Aran,0,Vamsegarn,rauma-vamsegarn,4.22,0.684913089,0.746852284
807,0,[Merino],Rauma,Fingering,1,Babygarn,rauma-babygarn,4.27,0.831003174,0.950258492
808,0,[Wool],Rauma,Fingering,,Finullgarn,rauma-finullgarn,4.48,0.484679109,0.536682603
810,0,[Wool],Manos del Uruguay,Aran,,Wool Clasica,manos-del-uruguay-wool-clasica,4.35,0.54099448,0.570325984
812,0,[Wool],Rauma,DK,,3 ply Strikkegarn,rauma-3-ply-strikkegarn,4.27,0.733221988,0.789867355
813,0,[Wool],Rauma,Light Fingering,0,Lamullgarn,rauma-lamullgarn,4.47,0.401781515,0.407640578
818,0,[Cotton],Lily,Worsted,1,Sugar'n Cream Solids & Denim,lily-sugarn-cream-solids--denim,4.09,0.255427829,0.591593876
819,0,[Cotton],Lily,Worsted,1,Sugar'n Cream Ombres,lily-sugarn-cream-ombres,4.18,0.418390234,0.718098697
874,0,[Cotton],Bernat,Worsted,1,Handicrafter Cotton Solids,bernat-handicrafter-cotton-solids,4.06,0.518751065,0.668063437
875,0,[Cotton],Bernat,Worsted,1,Handicrafter Cotton Ombres & Prints,bernat-handicrafter-cotton-ombres--prints,4.15,0.380855745,0.616488824
878,0,[Cotton],Sandnes Garn,Fingering,1,Mandarin Petit,sandnes-garn-mandarin-petit,4.06,0.367400637,0.680621891
881,1,"[Nylon, Wool]",Sandnes Garn,Fingering,1,Sisu Solids,sandnes-garn-sisu-solids,3.87,0.651513796,0.750461367
887,0,[Wool],Sandnes Garn,DK,,Peer Gynt,sandnes-garn-peer-gynt,4.17,0.580920628,0.44753528
888,0,[Wool],Sandnes Garn,DK,1,Smart,sandnes-garn-smart,3.96,0.748860626,0.846953219
892,0,[Wool],Sandnes Garn,Sport,,Tove,sandnes-garn-tove,4.06,0.57343836,0.665098913
894,0,[Wool],Sandnes Garn,Bulky,,Fritidsgarn,sandnes-garn-fritidsgarn,3.94,0.414096898,0.390121216
966,0,[Merino],Artyarns,Aran,1,Supermerino,artyarns-supermerino,4.52,0.782968962,0.833061817
967,1,"[Mohair, Merino, Nylon]",Crystal Palace Yarns,Lace,,Kid Merino,crystal-palace-yarns-kid-merino,3.97,0.501135434,0.53444469
1012,1,"[Nylon, Mohair, Rayon]",Prism,DK,,Kid Slique,prism-kid-slique,3.45,0.422778547,0.433233768
1049,0,[Silk],Artyarns,DK,0,Regal Silk,artyarns-regal-silk,4.48,0.415589649,0.376388779
1052,0,[Merino],Cestari,Aran,,Mount Vernon Collection ,cestari-mount-vernon-collection,4.35,0.861964735,0.810314218
1054,0,[Wool],Dale Garn,Bulky,0,Ara,dale-of-norway-dalegarn-ara,4.04,0.444076356,0.459402978
1055,0,[Wool],Dale Garn,Fingering,1,Daletta,dale-of-norway-dalegarn-daletta,4.04,0.799817682,0.990170209
1088,0,[Silk],Mango Moon,Bulky,0,Recycled Silk,mango-moon-recycled-silk,3.61,0.575186124,0.611440209
1089,0,[Merino],Wool in the Woods,Fingering,0,Cherub,wool-in-the-woods-cherub,4.17,0.700159773,0.792804284
1101,0,[Wool],Dale Garn,Sport,1,Falk,dale-garn-falk,4.13,0.756189934,0.911937577
1108,1,"[Silk, Merino]",JaggerSpun,Lace,,Zephyr Wool-Silk 2/18 ,jaggerspun-zephyr-wool-silk-2-18,4.65,0.615457305,0.699788356
1141,1,"[Linen, Cotton]",GGH,Aran,1,Linova,ggh-linova,3.8,0.379850883,0.599971818
1167,1,"[Polyester, Cotton]",Lana Grossa,Sport,1,Elastico,lana-grossa-elastico,4.34,0.43555244,0.584596784
1173,1,"[Polyester, Cotton]",Lana Grossa,Sport,1,Elastico Print,lana-grossa-elastico-print,4.43,0.256192886,0.376765969
1230,1,"[Mohair, Wool]",Lorna's Laces,Aran,0,Bullfrogs and Butterflies Multi,lornas-laces-bullfrogs-and-butterflies-multi,4.29,0.443607806,0.413535892
1236,1,"[Silk, Wool]",Lorna's Laces,Lace,0,Helen's Lace Solid,lornas-laces-helens-lace-solid,4.63,0.394311022,0.396553818
1240,1,"[Nylon, Wool]",Lorna's Laces,Fingering,1,Shepherd Sock Multi,lornas-laces-shepherd-sock-multi,4.53,0.68210623,0.6815886
1243,0,[Wool],Lorna's Laces,Sport,1,Shepherd Sport Multi,lornas-laces-shepherd-sport-multi,4.58,0.696658398,0.834797703
1264,0,[Wool],Emu,DK,1,Superwash DK,emu-superwash-dk,3.85,0.727740984,0.842570971
1268,0,[Wool],Dale Garn,Aran,1,Free Style,dale-of-norway-dalegarn-free-style,3.89,0.566926111,0.642942985
1274,0,[Wool],Dale Garn,Sport,0,Heilo,dale-of-norway-dalegarn-heilo,4.32,0.680011623,0.789575716
1278,1,"[Wool, Acrylic]",Robin,Aran,1,Aran with Wool (400),robin-aran-with-wool-400,3.82,0.858249986,0.745429224
1289,1,"[Linen, Cotton]",MaggiKnits,DK,,Maggi's Linen,maggiknits-maggis-linen,4.18,0.295652922,0.556895787
1301,1,"[Nylon, Silk, Wool]",Elsebeth Lavold,DK,,Silky Wool,elsebeth-lavold-silky-wool,4.3,0.513235595,0.561085669
1310,0,[Soy],South West Trading Company,DK,,Oasis Multi,south-west-trading-company-oasis-multi,4,0.306174474,0.443854475
1365,1,"[Acrylic, Alpaca]",Plymouth Yarn,Bulky,,Baby Alpaca Brush ,plymouth-yarn-baby-alpaca-brush,4.26,0.429451631,0.400945706
1366,1,"[Wool, Acrylic]",Plymouth Yarn,Super Bulky,1,Encore Mega,plymouth-encore-mega,4.16,0.45681813,0.467965703
1368,0,[Wool],Plymouth Yarn,Bulky,0,Galway Chunky,plymouth-galway-chunky,4.3,0.407966695,0.375294187
1369,0,[Nylon],Plymouth Yarn,Super Bulky,1,Heaven,plymouth-yarn-heaven,3.87,0.282777915,0.365429915
1370,1,"[Wool, Acrylic]",Plymouth Yarn,Aran,1,Jelli Beenz,plymouth-yarn-jelli-beenz,4.08,0.796657629,0.720251782
1405,0,[Merino],Karabella Yarns,Sport,0,Aurora 4,karabella-yarns-aurora-4,4.46,0.630079793,0.703726639
1406,1,"[Cashmere, Merino]",Karabella Yarns,DK,0,Boise,karabella-yarns-boise,4.41,0.825084572,0.690194175
1407,1,"[Cashmere, Silk]",Karabella Yarns,DK,0,Breeze,karabella-breeze,4.5,0.612105703,0.656741305
1409,1,"[Cotton, Acrylic, Wool]",Muench Yarns,Bulky,1,Tessin,muench-tessin,4.13,0.427789806,0.622052189
1422,1,"[Wool, Acrylic]",GGH,Bulky,,Aspen,ggh-aspen,3.94,0.562085943,0.40077739
1487,1,"[Nylon, Wool]",Steinbach Wolle,Sport,1,Strapaz,steinbach-wolle-strapaz,4.03,0.657101555,0.670526178
1545,1,"[Metallic, Silk]",Habu Textiles,Lace,,A-20/21 1/20 silk stainless steel,habu-textiles-a-20-21-1-20-silk-stainless-steel,4.35,0.236910945,0.133998055
1547,1,"[Metallic, Wool]",Habu Textiles,Lace,0,A-148 1/17.6 Wool Stainless Steel,habu-textiles-a-148-1-176-wool-stainless-steel,4.45,0.279640259,0.152990118
1589,1,"[Rayon, Acrylic, Wool]",Cleckheaton,DK,,Country Naturals 8 Ply,cleckheaton-country-naturals-8-ply,4.06,0.39293478,0.49819933
1598,0,[Alpaca],Alpaca with a Twist,DK,,Baby Twist,alpaca-with-a-twist-baby-twist,4.64,0.631266894,0.618393391
1600,1,"[Silk, Alpaca]",Alpaca with a Twist,Lace,0,Fino,alpaca-with-a-twist-fino,4.63,0.574929453,0.626644453
1601,0,[Alpaca],Alpaca with a Twist,Bulky,0,Big Baby,alpaca-with-a-twist-big-baby,4.76,0.44679055,0.352370442
1607,0,[Merino],GGH,DK,1,Maxima,ggh-maxima,4.17,0.518373705,0.562696787
1608,0,[Merino],GGH,Fingering,1,Merino Soft,ggh-merino-soft,4.37,0.703375706,0.848961873
1611,1,"[Cashmere, Silk, Wool]",GGH,Sport,0,Tajmahal,ggh-tajmahal,4.49,0.545903752,0.666469328
1631,0,[Wool],Cestari,Aran,1,"Traditional Collection, 2 Ply",cestari-traditional-collection-2-ply,4.3,0.787013149,0.909886311
1632,0,[Wool],Cestari,DK,1,"Traditional Collection Wool, 3 Ply",cestari-traditional-collection-wool-3-ply,4.26,0.787469832,0.900421689
1634,1,"[Acrylic, Nylon]",Plymouth Yarn,DK,1,Dreambaby DK Prints,plymouth-yarn-dreambaby-dk-prints,4.22,0.428749673,0.741902976
1638,1,"[Acrylic, Polyester]",Patons North America,Super Bulky,1,Bohemian,patons-north-america-bohemian,3.8,0.21587922,0.317824206
1651,0,[Hemp],Hemp for Knitting,Fingering,1,Allhemp3,hemp-for-knitting-allhemp3,3.86,0.510619698,0.769910771
1652,0,[Hemp],Hemp for Knitting,DK,1,Allhemp6,hemp-for-knitting-allhemp6,3.82,0.243801894,0.512875801
1665,0,[Angora],Malabrigo Yarn,Aran,,Angora,malabrigo-yarn-angora,4.56,0.591358657,0.605296882
1666,0,[Merino],Malabrigo Yarn,Aran,,Merino Worsted,malabrigo-yarn-merino-worsted,4.73,0.61834582,0.468545465
1668,1,"[Other, Cotton]",Cascade Yarns,DK,1,Fixation Solid,cascade-yarns-fixation-solid,4.1,0.405955017,0.604416377
1674,1,"[Cotton, Rayon]",Blue Heron,Worsted,0,Cotton Rayon Seed,blue-heron-cotton-rayon-seed,4.34,0.11458597,0.205418406
1683,1,"[Metallic, Polyester]",Crystal Palace Yarns,Thread,0,Little Flowers,crystal-palace-yarns-little-flowers,3.99,0.079148449,0.06875952
1685,1,"[Metallic, Rayon]",Blue Heron,DK,0,Rayon Metallic,blue-heron-rayon-metallic,4.56,0.356322752,0.478264718
1693,1,"[Acrylic, Nylon]",Sirdar,Light Fingering,1,Snuggly 3 Ply,sirdar-snuggly-3-ply,3.94,0.487173964,0.559437132
1721,1,"[Rayon, Cotton]",Knit Picks,Sport,1,Shine Sport,knit-picks-shine-sport,4.32,0.466076786,0.621669844
1722,0,[Merino],Filatura Di Crosa,DK,1,Zara,filatura-di-crosa-zara,4.48,0.754946047,0.836784223
1728,0,[Wool],Knit Picks,Worsted,,Wool of the Andes Worsted Weight,knit-picks-wool-of-the-andes-worsted-weight,4.18,0.71119636,0.759760719
1732,0,[Merino],Knit Picks,Lace,,Shadow,knit-picks-shadow,4.32,0.69769178,0.701407012
1750,0,[Wool],Knit Picks,Fingering,,Palette,knit-picks-palette,4.16,0.745566395,0.817344573
1754,0,[Alpaca],Knit Picks,Sport,0,Andean Treasure,knit-picks-andean-treasure,4.54,0.621673693,0.677671988
1757,0,[Alpaca],Knit Picks,Lace,,Alpaca Cloud,knit-picks-alpaca-cloud,4.34,0.614803596,0.63759046
1775,1,"[Acrylic, Cotton]",Katia,Fingering,1,Mississippi-3,katia-mississippi-3,4.11,0.4729832,0.650969612
1833,0,[Polyester],Lion Brand,Bulky,1,Fun Fur Prints,lion-brand-fun-fur-prints,3.45,0.215606105,0.287004251
1843,0,[Merino],Lane Cervinia,Sport,,Le Fibre Nobili Merino Superfine,lane-cervinia-le-fibre-nobili-merino-superfine,4.46,0.717476293,0.789384738
1853,1,"[Nylon, Wool]",Lana Grossa,Fingering,1,Meilenweit 100g Uni/Solid,lana-grossa-meilenweit-100g-uni-solid,4.12,0.64839443,0.676694824
1864,1,"[Mohair, Acrylic]",Lane Cervinia,DK,0,Softer,lane-cervinia-softer,3.45,0.553555645,0.571413788
1872,1,"[Wool, Acrylic]",Lion Brand,Super Bulky,1,Wool-Ease Thick & Quick Solids,lion-brand-wool-ease-thick--quick-solids,4.01,0.540464676,0.472727964
1887,0,[Wool],Shepherd,DK,1,Colour 4 Me 8 Ply,shepherd-colour-4-me-8-ply,3.91,0.811929581,0.92319662
1913,1,"[Polyester, Acrylic]",Lion Brand,Bulky,1,Homespun,lion-brand-homespun,3.36,0.449770334,0.638556722
2055,1,"[Other, Acrylic]",Red Heart,Aran,1,Super Saver Fleck,red-heart-super-saver-fleck,3.66,0.619644788,0.527634815
2085,1,"[Wool, Acrylic]",Lion Brand,Aran,1,"Wool-Ease Solids, Heathers & Twists",lion-brand-wool-ease-solids-heathers--twists,3.83,0.744089664,0.7459986
2137,1,"[Nylon, Acrylic]",Lion Brand,DK,1,BabySoft Solid,lion-brand-babysoft-solid,3.75,0.481434506,0.737916597
2140,1,"[Rayon, Nylon, Acrylic]",Lion Brand,DK,1,BabySoft Pompadour,lion-brand-babysoft-pompadour,3.79,0.234658205,0.37186636
2151,1,"[Wool, Acrylic]",Lion Brand,Aran,1,Wool-Ease Prints,lion-brand-wool-ease-prints,3.69,0.558923281,0.503918239
2162,1,"[Wool, Acrylic]",Lion Brand,Bulky,1,Wool-Ease Chunky,lion-brand-wool-ease-chunky,3.89,0.699632224,0.712931772
2196,0,[Wool],Cleckheaton,DK,1,Country 8 Ply,cleckheaton-country-8-ply,3.98,0.786262647,0.925593381
2229,1,"[Nylon, Wool]",Gjestal,Sport,1,Silja Sock,gjestal-silja-sock,3.75,0.657129209,0.670582178
2243,1,"[Nylon, Wool]",Austermann,Fingering,1,Step,austermann-step,4.31,0.693934469,0.808421057
2248,1,"[Polyester, Mohair, Acrylic]",Lang Yarns,Aran,1,Pearl,lang-yarns-pearl,3.63,0.474563563,0.50430942
2256,1,"[Cotton, Merino]",Schulana,Aran,,Merino Cotton 90,schulana-merino-cotton-90,4.45,0.441046524,0.630403034
2264,0,[Cotton],GGH,Aran,1,Big Easy,ggh-big-easy,3.71,0.215164701,0.557163699
2276,1,"[Nylon, Wool, Cotton]",Lana Grossa,Fingering,1,Meilenweit 100 Cotton Fantasy,lana-grossa-meilenweit-100-cotton-fantasy,4.11,0.602296298,0.644605945
2303,1,"[Wool, Alpaca]",Lana Grossa,Aran,0,Baby Alpaca,lana-grossa-baby-alpaca,4.48,0.65880677,0.753755999
2325,1,"[Nylon, Wool]",Järbo Garn,Aran,1,Raggi Solids & Marls,jarbo-garn-raggi-solids--marls,4.18,0.832605307,0.672026449
2326,1,"[Nylon, Wool]",Järbo Garn,Worsted,1,Raggi Multi,jarbo-garn-raggi-multi,4.19,0.645609403,0.682185324
2327,1,"[Nylon, Wool]",Järbo Garn,Fingering,1,Mini Raggi,jarbo-garn-mini-raggi,4.02,0.737457835,0.769216065
2332,1,"[Acrylic, Nylon]",Plymouth Yarn,DK,1,Dreambaby DK Solids & Dots,plymouth-yarn-dreambaby-dk-solids--dots,4.23,0.499164914,0.714301335
2339,0,[Cotton],Gjestal,Fingering,1,Baby-Bomull,gjestal-baby-bomull,4.27,0.244695165,0.646986662
2340,0,[Merino],Gjestal,Fingering,1,Baby Ull,gjestal-baby-ull,3.8,0.762705884,0.929198481
2353,1,"[Wool, Acrylic]",Plymouth Yarn,Bulky,0,Encore Chunky,plymouth-yarn-encore-chunky,4.07,0.566998288,0.581564553
2364,1,"[Wool, Acrylic]",Plymouth Yarn,Bulky,1,Encore Chunky Colorspun,plymouth-yarn-encore-chunky-colorspun,4.19,0.470479075,0.478505476
2374,1,"[Wool, Acrylic]",Plymouth Yarn,Worsted,1,Encore Worsted Solids & Heathers,plymouth-yarn-encore-worsted-solids--heathers,4.06,0.770925434,0.712518872
