yarn_id,num_fibers,animal_fiber_list,fiber_type_id_list,fiber_type_name_list,synthetic_list,vegetable_list,fiber_pct_list,fiber_id_list,company_permalink,company_name,weight_name,weight_knit_gauge,weight_ply,weight_wpi,discontinued,grams,machine_washable,yarn_name,yarn_notes,organic,permalink,rating_avg,rating_ct,rating_tot,texture,wpi,yardage,gauge_divisor,max_gauge,min_gauge,company_id,weight_id,common_price,num_stashes,num_projects,num_comments,last_updated
80796,1,[True],[3],[Wool],[False],[False],[100],[163950],jarol,Jarol ,Aran,18,10,8,FALSE,100,TRUE,Pure British Wool Aran,"<p>Jarol Aran is 100% British wool available in a range of solid, natural colours and two-toned colours of the same natural shades. Jarol Aran is spun by Laxtons in Yorkshire.</p>",,jarol-pure-british-wool-aran,4.29,66,283,plied,,185,4,,19,1809,1,,174,249,3,"Page created: August 20, 2011Last updated: November 25, 2014…"
798,2,"[False, True]","[2, 3]","[Nylon, Wool]","[True, False]","[False, False]","[20, 80]","[1350, 1349]",froehlich-wolle,Froehlich Wolle,Fingering,28,4,14,FALSE,50,TRUE,Maxi Ringel,"<p>80% wool, 20% nylon</p>

<p>Self striping</p>",FALSE,froehlich-wolle-maxi-ringel,4.06,34,138,Plied,,225,4,,30,54,5,,167,144,1,"Page created:Last updated: October 10, 2012…"
26373,2,"[False, False]","[2, 5]","[Nylon, Acrylic]","[True, True]","[False, False]","[20, 80]","[50413, 29678]",zeeman,Zeeman,DK,22,8,11,FALSE,50,TRUE,Supersoft,<p>20% polyamide 80% acrylic <br />Machine wash at 30 C</p>,FALSE,zeeman-supersoft,3.78,108,408,Plied,,207,4,,22,4122,11,,428,1279,3,"Page created: February 27, 2008Last updated: April  5, 2016…"
78853,1,[False],[1],[Cotton],[False],[True],[100],[160615],peaches--creme,Peaches & Creme,Worsted,20,10,9,FALSE,56,TRUE,Scents,"<p><strong>This is the new Peaches and Creme, made in Canada by Spinrite with the label with the large peach on it. There is NO pitcher on this label.</strong></p>

<p><strong>The old Peaches and Creme, made by Pisgah, can be found <a href=""http://www.ravelry.com/yarns/library/pisgah-yarn--dyeing-co-inc-peaches--creme-solids"">here</a>.</strong></p>

<p>Please use this entry to catalog ALL sizes of Peaches &amp; Creme scents (not including stripes, twists, solids and ombres and prints).</p>

<p>Yardage/weight should be specified at your personal stash level. For reference, here are some known quantities this yarn is or has been available in:</p>

<pre><code>* 56.7 g ball = 95 yards</code></pre>",,peaches--creme-scents,3.73,92,343,Plied,,95,4,,20,14327,12,,212,438,9,"Page created: June 26, 2011Last updated: March  1, 2015…"
60913,1,[True],[24],[Merino],[False],[False],[100],[76219],cherry-tree-hill-yarn,Cherry Tree Hill Yarn,Fingering,28,4,14,FALSE,113,TRUE,Fingerpaints 100% Merino,"<p>Self-stripes! Superwash merino, but hand washing is recommended.</p>",,cherry-tree-hill-yarn-fingerpaints-100-merino,4.64,163,756,plied,,420,4,,28,8,5,,1047,601,4,"Page created: April  2, 2010Last updated: May  3, 2014…"
100368,1,[False],[1],[Cotton],[False],[True],[100],[196630],vendita,Vendita,DK,22,8,11,FALSE,50,TRUE,Baumwollgarn,"<p>100% cotton.</p>

<p><strong>Additional Gauge Information:</strong> <br />21 sts and 29 rows = 4 in (10 cm)</p>

<p>Sold in France as <strong>Fil de Coton</strong> and in Portugal as <strong>Fio de Algodão</strong></p>",,vendita-baumwollgarn,4.13,64,264,Plied,,126,4,,21,12230,11,,375,520,3,"Page created: January  2, 2013Last updated: February 12, 2015…"
107889,3,"[False, False, False]","[6, 5, 1]","[Polyester, Acrylic, Cotton]","[True, True, False]","[False, False, True]","[14, 31, 55]","[209066, 209065, 209064]",sirdar,Sirdar,Bulky,14-15,12,7,FALSE,50,TRUE,Freya,,FALSE,sirdar-freya,3.88,41,159,"plied, fluffy",,120,4,,14,14,4,,122,153,1,"Page created: July 12, 2013Last updated: July 26, 2013…"
69424,1,[True],[24],[Merino],[False],[False],[100],[144570],fonty,fonty,Aran,18,10,8,FALSE,50,TRUE,Aubusson,"<p>Gauge info 10x10 cm = 18 sts or 26 rows</p>

<p>Made in Creuse (France)</p>",FALSE,fonty-aubusson,4.45,77,343,Plied,,87,4,,18,223,1,,170,334,1,"Page created: October 30, 2010Last updated: November 23, 2014…"
51266,2,"[False, False]","[2, 5]","[Nylon, Acrylic]","[True, True]","[False, False]","[None, None]","[62429, 62430]",king-cole,King Cole,Super Bulky,12-Aug,,6-May,FALSE,100,TRUE,Comfort Chunky,,FALSE,king-cole-comfort-chunky,4.11,80,329,plied,,116,4,,12,123,6,,182,286,3,"Page created: August 11, 2009Last updated: November 24, 2014…"
73541,2,"[True, False]","[9, 1]","[Silk, Cotton]","[False, False]","[False, True]","[17, 83]","[151544, 151543]",misti-alpaca,Misti Alpaca,DK,22,8,11,FALSE,100,,Hand Paint Tonos Pima Silk,<p>Different than the Hand Paint Pima Silk or the solid colors</p>,,misti-alpaca-hand-paint-tonos-pima-silk,4.53,105,476,plied,,327,1,6,5.5,33,11,,348,337,1,"Page created: February 10, 2011Last updated: November 26, 2014…"
5987,3,"[True, True, True]","[13, 9, 24]","[Cashmere, Silk, Merino]","[False, False, False]","[False, False, False]","[8, 22, 70]","[7552, 7551, 7553]",lane-cervinia,Lane Cervinia,Worsted,20,10,9,FALSE,50,,Le Fibre Nobili Super Tajmahal,"<p>Distributed in the US by Plymouth Yarns.</p>

<p>70% Super Fine Merino Wool, 22% Silk, 8% Cashmere</p>",,lane-cervinia-le-fibre-nobili-super-tajmahal,4.38,72,315,Plied,,127,4,22,20,97,12,,254,274,7,"Page created: May 24, 2007Last updated: January 13, 2016…"
7517,2,"[False, True]","[2, 3]","[Nylon, Wool]","[True, False]","[False, False]","[25, 75]","[8777, 8778]",lane-cervinia,Lane Cervinia,Fingering,28,4,14,FALSE,50,TRUE,Forever Jacquard,"<p>75% wool, 25% polyamide (nylon).</p>",,lane-cervinia-forever-jacquard,3.8,69,262,plied ,,230,4,,28,97,5,,331,224,2,"Page created: June 10, 2007Last updated: January 13, 2016…"
93321,1,[True],[9],[Silk],[False],[False],[100],[185146],dyeforyarn,DyeForYarn,Fingering,28,4,14,FALSE,100,,Fingering // 15ply Mulberry Silk,"<p>100% Mulberry Silk <br />yardage per 100g: 437yds. (400m) <br />listing skein size: 100g =&gt; 437 yds. (400m) <br />15 thin yarn strands twisted together <br />(mulberry silk)</p>

<p>Gauge with 3.25mm needles: <br />5x5 cm = 14 sts x 18 rows</p>",,dyeforyarn-fingering----15ply-mulberry-silk,4.66,83,387,multiply,,437,,,,8150,5,,476,274,2,"Page created: July  1, 2012Last updated: July 12, 2015…"
31605,2,"[False, True]","[2, 24]","[Nylon, Merino]","[True, False]","[False, False]","[25, 75]","[36449, 36450]",knit-picks,Knit Picks,Fingering,28,4,14,FALSE,100,TRUE,Bare Stroll Fingering Sock Blank,"<p>75% Superwash Merino Wool, 25% Nylon (polyamide)</p>

<p>This is Knit Pick&#8217;s undyed, natural Stroll sock yarn knit, double-stranded, into a flat Sock Blank. You can dye the blank, then knit two socks straight from the blank.</p>

<p>&#8220;Finished knit size is 33&#8221; long by 9&#8221; wide. The double stranded gauge is 4.75sts/1&#8221;. When you knit from the Sock Blank single stranded, you should achieve your usual fingering weight gauge on size #1-3 needles.&#8221;</p>",,knit-picks-bare-stroll-fingering-sock-blank,4.33,254,1101,Plied ,,462,4,32,28,96,5,,997,1099,7,"Page created: June  2, 2008Last updated: February 11, 2016…"
82443,3,"[False, False, True]","[2, 5, 3]","[Nylon, Acrylic, Wool]","[True, True, False]","[False, False, False]","[20, 25, 55]","[166732, 166731, 166730]",jarol,Jarol ,Fingering,28,4,14,FALSE,100,TRUE,Heritage 4 Ply,"<p>Can be tumble dried.</p>

<p>28 stitches and 36 rows per 10 cms. 370 metres per 100 grams.</p>

<p>Do not use fabric softener.</p>",,jarol-heritage-4-ply,4.04,56,226,plied,18,405,4,,28,1809,5,,192,293,4,"Page created: October  2, 2011Last updated: January 26, 2015…"
82442,3,"[False, False, False]","[1, 4, 12]","[Cotton, Rayon, Linen]","[False, True, False]","[True, False, True]","[16, 26, 58]","[166729, 166728, 166727]",permin,Permin,Fingering,28,4,14,FALSE,50,FALSE,Scarlet,"<p>58% linen, 26% viscose, and 16% cotton.</p>

<p><strong>Additional Gauge Information:</strong> <br />22 sts and 28 rows = 4 in (10 cm)</p>

<p><strong>Care Instructions:</strong> <br />Hand wash.</p>

<p>Made in Italy.</p>",FALSE,permin-scarlet,3.95,39,154,Plied,,163,4,,22,8020,5,,146,150,2,"Page created: October  2, 2011Last updated: June 28, 2014…"
3993,2,"[False, True]","[2, 3]","[Nylon, Wool]","[True, False]","[False, False]","[25, 75]","[16498, 5948]",zwerger-garn,Zwerger Garn,Fingering,28,4,14,FALSE,100,TRUE,Opal Uni Solid 4 ply,"<p>75% Superwash Wool, 25% Polyamide (nylon)</p>

<p><a href=""http://www.unicornbooks.com/opal-yarns.asp?pYarnCode=SC10"">2009-10 color card</a></p>

<p><a href=""http://www.sockenwolle.de/index.php?cat=c73_Solids-4-ply.html"">Newest Tutto color card</a></p>",,zwerger-garn-opal-uni-solid-4-ply,4.26,1068,4551,plied,,465,4,,28,631,5,,4817,7088,6,"Page created: May  3, 2007Last updated: Yesterday…"
48897,2,"[True, True]","[9, 24]","[Silk, Merino]","[False, False]","[False, False]","[50, 50]","[59166, 59167]",twisted-fiber-art,Twisted Fiber Art,Fingering,28,4,14,FALSE,70,,Muse,"<p>Muse is a gorgeous silk and merino blend, smooth and soft with a lustrous feel.</p>

<p>Although you can use it for hats, gloves, or even socks, Muse really shines when it is used to create beautiful shawls, scarves, and other lacy garments.</p>

<p>Working up equally well on small and medium-sized needles, Muse creates a drapey, silky fabric that is perfect for lace patterns.</p>

<p>The high silk content makes the yarn glow and slightly mutes the colors while keeping them beautifully eye-catching. Muse is an exceptionally beautiful yarn that will help you create stunning, extraordinary projects.</p>

<p><strong>A note about skein sizing:</strong> Arial Evolution skeins are available in Small (70 grams), Medium (100 grams), Large (140 grams), and Extra-Large (210). To stash a Small skein, enter 1 skein. To stash a Medium skein, enter 1.43 skeins. To stash a Large skein, enter 2 skeins. To stash an Extra-Large skein, enter 3 skeins.</p>",,twisted-fiber-art-muse,4.85,175,849,2 tighter plies with looser twist; silky smooth,,330,1,7,5,236,5,,777,532,3,"Page created: June 13, 2009Last updated: March  2, 2015…"
51063,3,"[True, False, False]","[3, 2, 5]","[Wool, Nylon, Acrylic]","[False, True, True]","[False, False, False]","[18, 29, 53]","[62112, 62111, 62113]",phildar,Phildar,Light Fingering,32,3,,FALSE,50,TRUE,Phil Light ,"<p>A classic &#8216;mohair&#8217; type yarn, very thin but with good halo. Single strand suitable for lace. Note though that most of Phildar&#8217;s garment patterns for this yarn involve holding together 3-4 strands of harmonious colors.</p>

<p><a href=""http://www.loveknitting.com/phildar-phil-light?utm_source=ravelry&amp;utm_medium=cpc&amp;utm_campaign=UK%2BPhildar&amp;currency=GBP"">Alternate Color Card URL</a></p>",,phildar-phil-light,3.41,219,746,"plied, fluffy",,313,4,,17,221,13,,699,1168,1,"Page created: August  6, 2009Last updated: February  4, 2016…"
82196,2,"[True, True]","[9, 7]","[Silk, Mohair]","[False, False]","[False, False]","[30, 70]","[166314, 166313]",rowan,Rowan,Lace,32-34,2,,FALSE,50,FALSE,Kidsilk Haze Stripe,<p>Colours by Kaffe Fasset.</p>,FALSE,rowan-kidsilk-haze-stripe,4.57,736,3367,"plied, fuzzy",,460,4,25,18,5,7,31.95,2432,2604,11,"Page created: September 26, 2011Last updated: November 13, 2011…"
51479,3,"[False, True, True]","[2, 13, 24]","[Nylon, Cashmere, Merino]","[True, False, False]","[False, False, False]","[10, 10, 80]","[62741, 62742, 62743]",stricken-smitten,Stricken Smitten,Fingering,28,4,14,FALSE,100,TRUE,Sinful Sock ,"<p>80/10/10 blend of Superwash Merino, Cashmere and Nylon.</p>",FALSE,stricken-smitten-sinful-sock,4.58,85,389,plied,,420,1,10,7,7009,5,,436,233,4,"Page created: August 17, 2009Last updated: July 27, 2010…"
42717,1,[False],[1],[Cotton],[False],[True],[100],[51074],lana-grossa,Lana Grossa,Aran,18,10,8,FALSE,50,TRUE,Linea Pura Organico Solid/Uni,"<p>100% organic cotton</p>

<p>Hand wash, dry flat</p>

<p>Linea Pura line, Spring 2009</p>

<p><a href=""http://www.lanagrossa-store.com/media/Dokumente.12/Farbkarten.15/Fr%C3%BChjahr_Sommer%202010.153/organico.pdf"">Color card (PDF)</a> from Lana Grossa</p>",TRUE,lana-grossa-linea-pura-organico-solid-uni,4.21,225,947,plied,,98,4,,18,28,1,,619,934,9,"Page created: February  2, 2009Last updated: November 23, 2014…"
56239,1,[True],[14],[Alpaca],[False],[False],[100],[69530],estelle-yarns-2,Estelle Yarns,Lace,32-34,2,,FALSE,50,FALSE,Super Alpaca Lace,,FALSE,estelle-super-alpaca-lace,4.26,38,162,plied,,437,4,,28,403,7,,203,148,2,"Page created: December 19, 2009Last updated: November  7, 2010…"
112501,1,[True],[24],[Merino],[False],[False],[100],[217082],schachenmayr,Schachenmayr,DK,22,8,11,FALSE,50,TRUE,Extra Merino,"<p><strong><em>From the North American Schachenmayr website:</em></strong> <br />Extra Merino, a classic merino yarn with an innovative millifilli plying. This fine merino yarn is perfect for soft, lightweight knits.</p>

<p><strong>Details</strong> <br />Article Code: 9807503 <br />Season: Autumn/Winter <br />Yarn Ball Weight: 50g <br />Yarn Meterage/Yardage: 130 / 140 <br />Tension/Gauge #/stitches: 22 <br />Tension/Gauge #/rows: 30</p>

<p><em>Recommended Knitting Needles</em> <br />Knitting Needle (UK): 8-11 <br />Knitting Needle (US): 3-6 <br />Knitting Needle, MM: 3-4</p>",FALSE,schachenmayr-original-extra-merino,4.39,38,167,plied,,140,4,,22,13098,11,,172,142,1,"Page created: November 19, 2013Last updated: February 27, 2014…"
56234,2,"[False, True]","[2, 3]","[Nylon, Wool]","[True, False]","[False, False]","[25, 75]","[69519, 69520]",schoppel-wolle,Schoppel-Wolle,Sport,24-26,5,12,FALSE,150,TRUE,Zauberball Stärke 6,"<p>75% pure new wool, 25% nylon (polyamide)</p>

<p>40°C machine washable. <br />Stärke 6 refers to 6-ply, see also comparison between ballbands of Zauberball Stärke 6 and Crazy Zauberball.</p>",,schoppel-wolle-zauberball-starke-6,4.38,797,3487,Plied multi color,,437,4,,22,2033,10,32.95,2385,3371,16,"Page created: December 19, 2009Last updated: March 24, 2016…"
56233,2,"[True, False]","[3, 5]","[Wool, Acrylic]","[False, True]","[False, False]","[50, 50]","[69517, 69518]",troitsk-yarn,Troitsk Yarn,DK,22,8,11,FALSE,100,TRUE,Countryside (Подмосковная),,FALSE,troitsk-wool-countryside-,3.58,53,190,plied,,273,4,,24,5103,11,,146,379,2,"Page created: December 19, 2009Last updated: June 19, 2011…"
101491,2,"[True, True]","[9, 3]","[Silk, Wool]","[False, False]","[False, False]","[45, 55]","[198573, 198572]",fyberspates,Fyberspates,Lace,32-34,2,,FALSE,100,TRUE,Gleem Lace,"<p>This yarn is 55% Bluefaced Leicester and 45% silk with a generous 800m per 100g. Hand dyed in shimmering complimentary tones, this yarn is perfect for special lace with a &#8216;wow&#8217; factor.</p>",,fyberspates-gleem-lace,4.73,154,728,smooth,,874,,,,266,7,,799,549,1,"Page created: January 28, 2013Last updated: May 18, 2015…"
31371,2,"[False, True]","[2, 24]","[Nylon, Merino]","[True, False]","[False, False]","[25, 75]","[36115, 36116]",cascade-yarns,Cascade Yarns,Fingering,28,4,14,FALSE,100,TRUE,Heritage Paints,"<p>75% Superwash Merino Wool, 25% Nylon</p>

<p>7-8 sts=1&#8221; / #2-3</p>

<p>Machine wash warm. <br />Tumble dry cool.</p>

<p><a href=""http://www.ravelry.com/yarns/library/cascade-yarns-heritage-solid"">Solid color</a> version</p>",,cascade-yarns-heritage-paints,4.57,2410,11017,Plied ,,437,4,32,28,19,5,19,8969,10192,36,"Page created: May 29, 2008Last updated: March  1, 2016…"
24750,2,"[False, True]","[2, 24]","[Nylon, Merino]","[True, False]","[False, False]","[20, 80]","[27616, 27617]",rohrspatz--wollmeise,Rohrspatz & Wollmeise,Fingering,28,4,14,FALSE,150,TRUE,Sockenwolle 80/20 Twin,"<p>New sock yarn from Wollmeise. Per the site:</p>

<p><em>&#8220;This yarn is a twin from the superwash sock yarn, both have the same twist. To knit with this yarn is similar as the superwash sock yarn, for socks you only need 2-4 stitches less than usual.&#8221;</em></p>

<p>It is also sold in a collection as Taste of Wollmeise pure, with 102 yds. in 30 gram skeins. Please adjust yardage at the stash level.</p>",FALSE,wollmeise-sockenwolle-80-20-twin,4.69,3671,17205,plied,,510,,,,315,5,,89961,40653,34,"Page created: January 26, 2008Last updated: March  6, 2014…"
21460,2,"[False, True]","[2, 24]","[Nylon, Merino]","[True, False]","[False, False]","[10, 90]","[23435, 23436]",enchanted-knoll-farm,Enchanted Knoll Farm,Fingering,28,4,14,FALSE,105,TRUE,Superwash Sock ,"<p>90% superwash merino <br />10% nylon</p>

<p>Yarns can be found:<br /><a href=""http://www.enchantedknoll.etsy.com"">Etsy Shop</a></p>

<p><a href=""http://www.theloopyewe.com/browse/yarns/enchanted-knoll-farm/"">The Loopy Ewe</a></p>",,enchanted-knoll-farm-superwash-sock,4.55,216,983,plied,,435,4,32,28,3525,5,,1170,772,5,"Page created: November 14, 2007Last updated: April  1, 2016…"
46904,1,[True],[3],[Wool],[False],[False],[100],[56400],j-c-rennie,J C Rennie,Fingering,28,4,14,FALSE,50,,Unique Shetland,"<p>28 stitches / 36 rows= 10cm square</p>

<p>Hand wash, dry flat.</p>

<p><strong>From their website:</strong> <br /><em>Pure new wool. 2/9Nm. 40 shades. The original Shetland by JC Rennie. Ideal for knitting, Unique Shetland is available on the cone (greasy) and as 50g hand knitting balls (4 ply).</em></p>",,j-c-rennie-unique-shetland,4.48,84,376,plied ,,236,4,,28,6495,5,,425,309,4,"Page created: April 27, 2009Last updated: August 20, 2015…"
50425,2,"[True, True]","[9, 24]","[Silk, Merino]","[False, False]","[False, False]","[30, 70]","[61181, 61182]",a-verb-for-keeping-warm,A Verb for Keeping Warm,Sport,24-26,5,12,FALSE,115,FALSE,Metamorphosis,"<p>70% Superwash Merino <br />30% Silk</p>

<p>Naturally Dyed</p>",FALSE,a-verb-for-keeping-warm-metamorphosis,4.19,104,436,,,385,,,,2125,10,,363,327,2,"Page created: July 21, 2009Last updated: July 20, 2012…"
55904,1,[True],[3],[Wool],[False],[False],[100],[69105],fibrofibers,FibroFibers,Fingering,28,4,14,FALSE,114,TRUE,Nightfall Fingering Shawl Ball,"<p>This springy superwash sock yarn gradually transitions from vivid color to a darker almost black shade over the entire length of the skein.</p>

<p>Available at select LYSs, and <a href=""http://www.fibrofibers.com"">http://www.fibrofibers.com</a>.</p>

<p>You might also like <a href=""http://www.ravelry.com/yarns/library/fibrofibers-nightfall-sock-set"">Nightfall Sock Sets</a> - two matching small balls for paired projects like socks, gloves, etc. Also new for Fall 2012 - Nightfall is available in three new weights!</p>",FALSE,fibrofibers-nightfall-fingering-shawl-ball,4.68,156,730,,,490,,,,6770,5,,839,492,10,"Page created: December 12, 2009Last updated: July 31, 2014…"
81248,1,[True],[3],[Wool],[False],[False],[100],[164732],lion-brand,Lion Brand,Bulky,14-15,12,7,FALSE,50,FALSE,Martha Stewart Crafts Roving Wool,"<p><strong>Solids:</strong> 1.75 oz (50g), 58 yards (53m) <br /><strong>Prints:</strong> 1.5 oz (42g), 49 yards (45m)</p>

<p>From LionBrand.com:</p>

<blockquote>
<p>Soft, natural roving wool works up fast for warm, cozy sweaters, long scarves, and colorful hats. It&#8217;s also great for felting projects.</p>
</blockquote>

<p>Made in the USA.</p>

<p>Article # 5200</p>",FALSE,lion-brand-martha-stewart-crafts-roving-wool,4.08,99,404,"single, roving, pencil roving",,58,4,,13,99,4,,648,458,4,"Page created: September  2, 2011Last updated: July  9, 2012…"
13600,3,"[True, False, True]","[9, 22, 24]","[Silk, Bamboo, Merino]","[False, False, False]","[False, True, False]","[20, 20, 60]","[14349, 14350, 14351]",hjertegarn,Hjertegarn,Sport,24-26,5,12,FALSE,50,FALSE,Merino Silk,"<p>60% merino 20 % silk 20 % bamboo</p>

<p>Feltable</p>",FALSE,hjertegarn-merino-silk,3.76,46,173,,,164,4,,24,795,10,,143,211,6,"Page created: July 22, 2007Last updated: July 16, 2012…"
101166,2,"[True, True]","[9, 3]","[Silk, Wool]","[False, False]","[False, False]","[30, 70]","[198001, 198000]",willow-yarns,Willow Yarns,Lace,32-34,2,,FALSE,50,,Stream,"<p><strong>Additional Gauge</strong></p>

<p>Knit: 28 sts &amp; 38 rows = 4&#8221; <br />Crochet: 26 sts &amp; 36 rows = 4&#8221;</p>",,willow-yarns-stream,4.12,33,136,Plied,,437,4,,28,12467,7,,215,162,6,"Page created: January 19, 2013Last updated: July  8, 2014…"
46137,2,"[True, True]","[9, 24]","[Silk, Merino]","[False, False]","[False, False]","[25, 75]","[55545, 55546]",schoppel-wolle,Schoppel-Wolle,Aran,18,10,8,FALSE,100,TRUE,IN Silk,"<p>From ball band: &#8220;Silk touches the wool while felting. Even, smooth and bright yarn.&#8221;</p>

<p>18 sts and 24 rows = 10x10 cm</p>

<p>Machine-wash on lukewarm, delicate cycle</p>",,schoppel-wolle-in-silk,4.36,67,292,plied,,219,4,,18,2033,1,,165,215,2,"Page created: April 12, 2009Last updated: May  6, 2015…"
81242,2,"[False, False]","[26, 1]","[Hemp, Cotton]","[False, False]","[True, True]","[35, 65]","[164720, 164719]",lion-brand,Lion Brand,Aran,18,10,8,FALSE,50,TRUE,Martha Stewart Crafts Cotton Hemp,"<p>From LionBrand.com:</p>

<blockquote>
<p>This versatile natural blend—soft, absorbent, and machine-washable—is a smart choice for garments, knit or crochet baby blankets, and even household projects like washcloths, place mats, and dish towels.</p>
</blockquote>

<p>Article # 5700</p>",FALSE,lion-brand-martha-stewart-crafts-cotton-hemp,3.24,157,509,plied,,66,4,,16,99,1,,888,648,23,"Page created: September  2, 2011Last updated: August  9, 2015…"
